CaseStatusID,StatusName,Description,IsActive
CS001,Under Investigation,Investigation is currently in progress,true
CS002,Charge Sheet Filed,Charge sheet has been submitted to the court,true
CS003,Pending Trial,Case is awaiting trial,true
CS004,Trial in Progress,Court trial is currently ongoing,true
CS005,Convicted,Accused has been convicted by the court,true
CS006,Acquitted,Accused has been acquitted by the court,true
CS007,Closed,Case has been closed,true
CS008,Transferred,Case transferred to another police station or agency,true
CS009,Reopened,Previously closed case reopened for investigation,true
CS010,Cancelled,FIR or case cancelled as per legal procedure,true
