EvidenceID,CaseID,EvidenceType,Description,CollectedBy,CollectionDate,Status,EvidenceNumber,LocationFound,StorageLocation,CollectedOfficerID,ForensicLab,ForensicReport,ChainOfCustody,Photograph,Remarks
EVD00001,KSP/DIS001/2026/00001,Digital Document,Key forensic evidence collected for Murder by Rajesh Kumar.,Rajesh Kumar,2026-02-02,Verified & Cataloged,EV-2026-1,Bengaluru Urban Town PS Crime Scene,Central Station Locker,OFF001,FSL Bengaluru Urban,FSL-REPORT-1,Intact Chain of Custody,evidence_1.jpg,Indexed via AI OCR
EVD00002,KSP/DIS002/2026/00002,Physical Weapon,Key forensic evidence collected for Attempt to Murder by Bengaluru Rural Officer 2.,Bengaluru Rural Officer 2,2026-03-03,Verified & Cataloged,EV-2026-2,Bengaluru Rural Central PS Crime Scene,Central Station Locker,OFF027,FSL Bengaluru Rural,FSL-REPORT-2,Intact Chain of Custody,evidence_2.jpg,Indexed via AI OCR
EVD00003,KSP/DIS003/2026/00003,Video Footage,Key forensic evidence collected for Assault & Grievous Hurt by Ramanagara Officer 3.,Ramanagara Officer 3,2026-04-04,Verified & Cataloged,EV-2026-3,Ramanagara Cyber Crime PS Crime Scene,Central Station Locker,OFF043,FSL Ramanagara,FSL-REPORT-3,Intact Chain of Custody,evidence_3.jpg,Indexed via AI OCR
EVD00004,KSP/DIS004/2026/00004,Digital Document,Key forensic evidence collected for Kidnapping by Chikkaballapura Officer 4.,Chikkaballapura Officer 4,2026-05-05,Verified & Cataloged,EV-2026-4,Chikkaballapura Traffic PS Crime Scene,Central Station Locker,OFF059,FSL Chikkaballapura,FSL-REPORT-4,Intact Chain of Custody,evidence_4.jpg,Indexed via AI OCR
EVD00005,KSP/DIS005/2026/00005,Physical Weapon,Key forensic evidence collected for Missing Person by Kolar Officer 5.,Kolar Officer 5,2026-06-06,Verified & Cataloged,EV-2026-5,Kolar Town PS Crime Scene,Central Station Locker,OFF075,FSL Kolar,FSL-REPORT-5,Intact Chain of Custody,evidence_5.jpg,Indexed via AI OCR
EVD00006,KSP/DIS006/2026/00006,Video Footage,Key forensic evidence collected for Theft by Tumakuru Officer 6.,Tumakuru Officer 6,2026-07-07,Verified & Cataloged,EV-2026-6,Tumakuru Central PS Crime Scene,Central Station Locker,OFF091,FSL Tumakuru,FSL-REPORT-6,Intact Chain of Custody,evidence_6.jpg,Indexed via AI OCR
EVD00007,KSP/DIS007/2026/00007,Digital Document,Key forensic evidence collected for Vehicle Theft by Shivamogga Officer 7.,Shivamogga Officer 7,2026-08-08,Verified & Cataloged,EV-2026-7,Shivamogga Cyber Crime PS Crime Scene,Central Station Locker,OFF107,FSL Shivamogga,FSL-REPORT-7,Intact Chain of Custody,evidence_7.jpg,Indexed via AI OCR
EVD00008,KSP/DIS008/2026/00008,Physical Weapon,Key forensic evidence collected for Burglary by Chitradurga Officer 8.,Chitradurga Officer 8,2026-09-09,Verified & Cataloged,EV-2026-8,Chitradurga Traffic PS Crime Scene,Central Station Locker,OFF123,FSL Chitradurga,FSL-REPORT-8,Intact Chain of Custody,evidence_8.jpg,Indexed via AI OCR
EVD00009,KSP/DIS009/2026/00009,Video Footage,Key forensic evidence collected for Robbery by Davanagere Officer 9.,Davanagere Officer 9,2026-10-10,Verified & Cataloged,EV-2026-9,Davanagere Town PS Crime Scene,Central Station Locker,OFF139,FSL Davanagere,FSL-REPORT-9,Intact Chain of Custody,evidence_9.jpg,Indexed via AI OCR
EVD00010,KSP/DIS010/2026/00010,Digital Document,Key forensic evidence collected for Chain Snatching by Mysuru Officer 10.,Mysuru Officer 10,2026-11-11,Verified & Cataloged,EV-2026-10,Mysuru Central PS Crime Scene,Central Station Locker,OFF155,FSL Mysuru,FSL-REPORT-10,Intact Chain of Custody,evidence_10.jpg,Indexed via AI OCR
