CrimeHeadID,CrimeHeadName,Description
CH001,Violent Crime,"Homicide, Murder, Attempted Murder, Grievous Assault"
CH002,Property Crime,"Burglary, Dacoity, Robbery, Housebreak, Chain Snatching"
CH003,Vehicle Theft,"Two-Wheeler, Four-Wheeler, Commercial Transport Theft"
CH004,Cyber Crime & Online Fraud,"UPI Phishing, Banking Fraud, Identity Theft, ATM Frauds"
CH005,Crime Against Women & Children,"Rape, Sexual Assault, POCSO, Domestic Violence, Harassment"
CH006,Narcotics & Contraband,"NDPS, Drug Trafficking, Synthetic Drugs, Ganja Seizure"
CH007,Organized Crime & Extortion,"Syndicate Extortion, Blackmail, Illegal Weapons, Human Trafficking"
CH008,Economic & White Collar Offence,"Forgery, Fake Currency, Counterfeit Documents, Corruption, Frauds"
CH009,Environmental & Forest Crime,"Wildlife Poaching, Teak Smuggling, Illegal Mining"
CH010,Terror & National Security,"Subversive Activity, Radicalization, Explosives Seizure"
CH011,Traffic & Road Incident,"Fatal Road Accident, Hit & Run, Drunk Driving Incident"
CH012,Public Disturbance & Miscellaneous,"Riot, Unknown Dead Body, Suicide Investigation, Property Dispute"
