AIAnalysisID,CaseID,CrimePattern,SuspectPrediction,RiskScore,MOType,HotspotLocation,AnalysisDate,Recommendation
AI00001,KSP/DIS001/2026/00001,Violent Crime Pattern Cluster #2,No prior criminal record detected,46,Murder,Bengaluru Urban Sector 2,2026-02-02,Deploy Hoysala patrol unit to Bengaluru Urban Town PS and monitor CCTV feeds.
AI00002,KSP/DIS002/2026/00002,Violent Crime Pattern Cluster #3,No prior criminal record detected,47,Attempt to Murder,Bengaluru Rural Sector 3,2026-03-03,Deploy Hoysala patrol unit to Bengaluru Rural Central PS and monitor CCTV feeds.
AI00003,KSP/DIS003/2026/00003,Violent Crime Pattern Cluster #4,No prior criminal record detected,48,Assault & Grievous Hurt,Ramanagara Sector 4,2026-04-04,Deploy Hoysala patrol unit to Ramanagara Cyber Crime PS and monitor CCTV feeds.
AI00004,KSP/DIS004/2026/00004,Violent Crime Pattern Cluster #5,High match with repeat offender Praveen Verma,49,Kidnapping,Chikkaballapura Sector 5,2026-05-05,Deploy Hoysala patrol unit to Chikkaballapura Traffic PS and monitor CCTV feeds.
AI00005,KSP/DIS005/2026/00005,Violent Crime Pattern Cluster #6,No prior criminal record detected,50,Missing Person,Kolar Sector 6,2026-06-06,Deploy Hoysala patrol unit to Kolar Town PS and monitor CCTV feeds.
AI00006,KSP/DIS006/2026/00006,Property Crime Pattern Cluster #7,No prior criminal record detected,51,Theft,Tumakuru Sector 7,2026-07-07,Deploy Hoysala patrol unit to Tumakuru Central PS and monitor CCTV feeds.
AI00007,KSP/DIS007/2026/00007,Vehicle Theft Pattern Cluster #8,No prior criminal record detected,52,Vehicle Theft,Shivamogga Sector 8,2026-08-08,Deploy Hoysala patrol unit to Shivamogga Cyber Crime PS and monitor CCTV feeds.
AI00008,KSP/DIS008/2026/00008,Property Crime Pattern Cluster #9,High match with repeat offender Vikas Kulkarni,53,Burglary,Chitradurga Sector 1,2026-09-09,Deploy Hoysala patrol unit to Chitradurga Traffic PS and monitor CCTV feeds.
AI00009,KSP/DIS009/2026/00009,Property Crime Pattern Cluster #10,No prior criminal record detected,54,Robbery,Davanagere Sector 2,2026-10-10,Deploy Hoysala patrol unit to Davanagere Town PS and monitor CCTV feeds.
AI00010,KSP/DIS010/2026/00010,Property Crime Pattern Cluster #11,No prior criminal record detected,55,Chain Snatching,Mysuru Sector 3,2026-11-11,Deploy Hoysala patrol unit to Mysuru Central PS and monitor CCTV feeds.
AI00011,KSP/DIS011/2026/00011,Cyber Crime & Online Fraud Pattern Cluster #12,No prior criminal record detected,56,Cyber Crime,Mandya Sector 4,2026-12-12,Deploy Hoysala patrol unit to Mandya Cyber Crime PS and monitor CCTV feeds.
AI00012,KSP/DIS012/2026/00012,Cyber Crime & Online Fraud Pattern Cluster #13,High match with repeat offender Rohan Deshmukh,57,UPI Fraud,Hassan Sector 5,2026-01-13,Deploy Hoysala patrol unit to Hassan Traffic PS and monitor CCTV feeds.
AI00013,KSP/DIS013/2026/00013,Cyber Crime & Online Fraud Pattern Cluster #14,No prior criminal record detected,58,Online Banking Fraud,Chamarajanagara Sector 6,2026-02-14,Deploy Hoysala patrol unit to Chamarajanagara Town PS and monitor CCTV feeds.
AI00014,KSP/DIS014/2026/00014,Cyber Crime & Online Fraud Pattern Cluster #15,No prior criminal record detected,59,Identity Theft,Kodagu Sector 7,2026-03-15,Deploy Hoysala patrol unit to Kodagu Central PS and monitor CCTV feeds.
AI00015,KSP/DIS015/2026/00015,Cyber Crime & Online Fraud Pattern Cluster #16,No prior criminal record detected,60,ATM Fraud,Dakshina Kannada (Mangaluru) Sector 8,2026-04-16,Deploy Hoysala patrol unit to Dakshina Kannada (Mangaluru) Cyber Crime PS and monitor CCTV feeds.
AI00016,KSP/DIS016/2026/00016,Crime Against Women & Children Pattern Cluster #17,High match with repeat offender Santosh Gowda,61,Rape,Udupi Sector 1,2026-05-17,Deploy Hoysala patrol unit to Udupi Traffic PS and monitor CCTV feeds.
AI00017,KSP/DIS017/2026/00017,Crime Against Women & Children Pattern Cluster #18,No prior criminal record detected,62,Sexual Assault,Uttara Kannada (Karwar) Sector 2,2026-06-18,Deploy Hoysala patrol unit to Uttara Kannada (Karwar) Town PS and monitor CCTV feeds.
AI00018,KSP/DIS018/2026/00018,Crime Against Women & Children Pattern Cluster #19,No prior criminal record detected,63,POCSO,Belagavi Sector 3,2026-07-19,Deploy Hoysala patrol unit to Belagavi Central PS and monitor CCTV feeds.
AI00019,KSP/DIS019/2026/00019,Crime Against Women & Children Pattern Cluster #20,No prior criminal record detected,64,Domestic Violence,Dharwad Sector 4,2026-08-20,Deploy Hoysala patrol unit to Dharwad Cyber Crime PS and monitor CCTV feeds.
AI00020,KSP/DIS020/2026/00020,Organized Crime & Extortion Pattern Cluster #1,High match with repeat offender Manjunath Sharma,65,Illegal Weapons,Hubballi City Sector 5,2026-09-21,Deploy Hoysala patrol unit to Hubballi City Traffic PS and monitor CCTV feeds.
AI00021,KSP/DIS021/2026/00021,Narcotics & Contraband Pattern Cluster #2,No prior criminal record detected,66,Drug Trafficking,Gadag Sector 6,2026-10-22,Deploy Hoysala patrol unit to Gadag Town PS and monitor CCTV feeds.
AI00022,KSP/DIS022/2026/00022,Organized Crime & Extortion Pattern Cluster #3,No prior criminal record detected,67,Human Trafficking,Haveri Sector 7,2026-11-23,Deploy Hoysala patrol unit to Haveri Central PS and monitor CCTV feeds.
AI00023,KSP/DIS023/2026/00023,Public Disturbance & Miscellaneous Pattern Cluster #4,No prior criminal record detected,68,Gambling,Vijayapura Sector 8,2026-12-24,Deploy Hoysala patrol unit to Vijayapura Cyber Crime PS and monitor CCTV feeds.
AI00024,KSP/DIS024/2026/00024,Environmental & Forest Crime Pattern Cluster #5,High match with repeat offender Praveen Khan,69,Wildlife Crime,Bagalkote Sector 1,2026-01-25,Deploy Hoysala patrol unit to Bagalkote Traffic PS and monitor CCTV feeds.
