EvidenceID,CaseID,EvidenceType,Description,CollectedBy,CollectionDate,Status,EvidenceNumber,LocationFound,StorageLocation,CollectedOfficerID,ForensicLab,ForensicReport,ChainOfCustody,Photograph,Remarks
EVD001,KSP/DIS001/2026/0001,Video,Key evidence gathered for Murder,Rajesh Kumar,2026-02-15,Verified,EV20262,Cubbon Park Police Station jurisdiction,Central Evidence Room,OFF001,FSL Bengaluru Urban,FR2,Recorded,evidence2.jpg,AI OCR Scanned & indexed
EVD002,KSP/DIS001/2026/0002,Image,Key evidence gathered for Attempt to Murder,Priya Sharma,2026-03-15,Verified,EV20263,Whitefield Police Station jurisdiction,Central Evidence Room,OFF002,FSL Bengaluru Urban,FR3,Recorded,evidence3.jpg,AI OCR Scanned & indexed
EVD003,KSP/DIS001/2026/0003,Document,Key evidence gathered for Cyber Crime,Manjunath Hegde,2026-04-15,Verified,EV20264,Indiranagar Police Station jurisdiction,Central Evidence Room,OFF003,FSL Bengaluru Urban,FR4,Recorded,evidence4.jpg,AI OCR Scanned & indexed
EVD004,KSP/DIS001/2026/0004,Video,Key evidence gathered for Theft,Anita Rao,2026-05-15,Verified,EV20265,Electronic City Police Station jurisdiction,Central Evidence Room,OFF004,FSL Bengaluru Urban,FR5,Recorded,evidence5.jpg,AI OCR Scanned & indexed
EVD005,KSP/DIS002/2026/0005,Video,Key evidence gathered for Burglary,Mysuru SP,2026-06-15,Verified,EV20266,Mysuru South Police Station jurisdiction,Central Evidence Room,OFF014,FSL Mysuru,FR6,Recorded,evidence6.jpg,AI OCR Scanned & indexed
EVD006,KSP/DIS002/2026/0006,Image,Key evidence gathered for Narcotics Offence,Mysuru Inspector,2026-01-15,Verified,EV20267,Mysuru South Police Station jurisdiction,Central Evidence Room,OFF015,FSL Mysuru,FR7,Recorded,evidence7.jpg,AI OCR Scanned & indexed
EVD007,KSP/DIS002/2026/0007,Document,Key evidence gathered for Domestic Violence,Mysuru Sub Inspector,2026-02-15,Verified,EV20268,Mysuru South Police Station jurisdiction,Central Evidence Room,OFF016,FSL Mysuru,FR8,Recorded,evidence8.jpg,AI OCR Scanned & indexed
EVD008,KSP/DIS002/2026/0008,Video,Key evidence gathered for Kidnapping,Mysuru SP,2026-03-15,Verified,EV20269,Mysuru South Police Station jurisdiction,Central Evidence Room,OFF014,FSL Mysuru,FR9,Recorded,evidence9.jpg,AI OCR Scanned & indexed
EVD009,KSP/DIS003/2026/0009,Video,Key evidence gathered for Murder,Mangaluru SP,2026-04-15,Verified,EV202610,Mangaluru North Police Station jurisdiction,Central Evidence Room,OFF017,FSL Mangaluru,FR10,Recorded,evidence10.jpg,AI OCR Scanned & indexed
EVD010,KSP/DIS003/2026/0010,Image,Key evidence gathered for Attempt to Murder,Mangaluru Inspector,2026-05-15,Verified,EV202611,Mangaluru North Police Station jurisdiction,Central Evidence Room,OFF018,FSL Mangaluru,FR11,Recorded,evidence11.jpg,AI OCR Scanned & indexed
EVD011,KSP/DIS003/2026/0011,Document,Key evidence gathered for Cyber Crime,Mangaluru Sub Inspector,2026-06-15,Verified,EV202612,Mangaluru North Police Station jurisdiction,Central Evidence Room,OFF019,FSL Mangaluru,FR12,Recorded,evidence12.jpg,AI OCR Scanned & indexed
EVD012,KSP/DIS003/2026/0012,Video,Key evidence gathered for Theft,Mangaluru SP,2026-01-15,Verified,EV202613,Mangaluru North Police Station jurisdiction,Central Evidence Room,OFF017,FSL Mangaluru,FR13,Recorded,evidence13.jpg,AI OCR Scanned & indexed
EVD013,KSP/DIS004/2026/0013,Video,Key evidence gathered for Burglary,Ramesh Kulkarni,2026-02-15,Verified,EV202614,Belagavi Police Station jurisdiction,Central Evidence Room,OFF008,FSL Belagavi,FR14,Recorded,evidence14.jpg,AI OCR Scanned & indexed
EVD014,KSP/DIS004/2026/0014,Image,Key evidence gathered for Narcotics Offence,Belagavi SP,2026-03-15,Verified,EV202615,Belagavi Police Station jurisdiction,Central Evidence Room,OFF020,FSL Belagavi,FR15,Recorded,evidence15.jpg,AI OCR Scanned & indexed
EVD015,KSP/DIS004/2026/0015,Document,Key evidence gathered for Domestic Violence,Belagavi Inspector,2026-04-15,Verified,EV202616,Belagavi Police Station jurisdiction,Central Evidence Room,OFF021,FSL Belagavi,FR16,Recorded,evidence16.jpg,AI OCR Scanned & indexed
