CrimeNumber,CrimeRegisteredDate,BriefFacts,CaseStatus,CrimeMajorHead,CrimeMinorHead,PoliceStation,District,Latitude,Longitude,CaseStatusID,CategoryID,GravityID,CrimeHeadID,CrimeSubHeadID,UnitID,DistrictID,OfficerID
KSP/DIS001/2026/0001,2026-02-15,"Victim found dead under suspicious circumstances in residential quarters. Location: Cubbon Park Police Station, Bengaluru Urban.",Under Investigation,Murder,Homicide,Cubbon Park Police Station,Bengaluru Urban,12.9742,77.6196,CS001,CAT001,GR010,CH001,CSH001,U001,DIS001,OFF001
KSP/DIS001/2026/0002,2026-03-15,"Violent physical altercation involving sharp weapons reported at main market. Location: Whitefield Police Station, Bengaluru Urban.",Charge Sheeted,Attempt to Murder,Attempted Homicide,Whitefield Police Station,Bengaluru Urban,12.9483,77.5892,CS002,CAT001,GR008,CH001,CSH002,U002,DIS001,OFF002
KSP/DIS001/2026/0003,2026-04-15,"Unauthorized online bank transfer via phishing link. Location: Indiranagar Police Station, Bengaluru Urban.",Under Investigation,Cyber Crime,Financial Phishing Fraud,Indiranagar Police Station,Bengaluru Urban,12.9875,77.5780,CS001,CAT004,GR007,CH006,CSH011,U003,DIS001,OFF003
KSP/DIS001/2026/0004,2026-05-15,"Two-wheeler stolen from public parking area outside commercial complex. Location: Electronic City Police Station, Bengaluru Urban.",Charge Sheeted,Theft,Vehicle Theft,Electronic City Police Station,Bengaluru Urban,12.9851,77.5724,CS002,CAT002,GR003,CH003,CSH005,U004,DIS001,OFF004
KSP/DIS002/2026/0005,2026-06-15,"Lock broken and cash seized from electronic shop overnight. Location: Mysuru South Police Station, Mysuru.",Under Investigation,Burglary,Commercial Burglary,Mysuru South Police Station,Mysuru,12.2721,76.6245,CS001,CAT002,GR006,CH004,CSH008,U006,DIS002,OFF014
KSP/DIS002/2026/0006,2026-01-15,"Commercial quantity of contraband seized during highway vehicular check. Location: Mysuru South Police Station, Mysuru.",Charge Sheeted,Narcotics Offence,Drug Trafficking,Mysuru South Police Station,Mysuru,12.3121,76.6593,CS002,CAT006,GR009,CH008,CSH015,U006,DIS002,OFF015
KSP/DIS002/2026/0007,2026-02-15,"Physical assault and spousal harassment complaint lodged. Location: Mysuru South Police Station, Mysuru.",Under Investigation,Domestic Violence,Domestic Assault,Mysuru South Police Station,Mysuru,12.3004,76.6171,CS001,CAT005,GR005,CH007,CSH013,U006,DIS002,OFF016
KSP/DIS002/2026/0008,2026-03-15,"Abduction reported with demand for financial ransom. Location: Mysuru South Police Station, Mysuru.",Charge Sheeted,Kidnapping,Ransom Kidnapping,Mysuru South Police Station,Mysuru,12.3033,76.6204,CS002,CAT001,GR010,CH002,CSH004,U006,DIS002,OFF014
KSP/DIS003/2026/0009,2026-04-15,"Victim found dead under suspicious circumstances in residential quarters. Location: Mangaluru North Police Station, Mangaluru.",Under Investigation,Murder,Homicide,Mangaluru North Police Station,Mangaluru,12.9340,74.8640,CS001,CAT001,GR010,CH001,CSH001,U007,DIS003,OFF017
KSP/DIS003/2026/0010,2026-05-15,"Violent physical altercation involving sharp weapons reported at main market. Location: Mangaluru North Police Station, Mangaluru.",Charge Sheeted,Attempt to Murder,Attempted Homicide,Mangaluru North Police Station,Mangaluru,12.8943,74.8427,CS002,CAT001,GR008,CH001,CSH002,U007,DIS003,OFF018
